일자,구분1,발전소코드,발전소용량(KW),0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,합계
2023-03-01,실측,S5029,587.88,0.0,0.0,0,0,0,0.0,0.0,9.6,36.48,80.16,160.32,205.44,132.96,81.6,192.0,181.92,243.36,151.68,7.68,0.0,0,0,0,0,1483.2
2023-03-01,실측,G1059,592.74,0.0,0.0,0,0,0,0.0,0.0,9.16,42.91,69.42,105.1,175.49,284.92,158.61,67.5,27.48,78.1,31.82,0.0,0.0,0,0,0,0,1050.51
2023-03-01,실측,S5016,619.83,0.0,0.0,0,0,0,0.0,0.0,4.8,20.64,61.92,144.48,163.68,257.76,267.36,246.72,231.84,112.32,49.44,2.4,0.0,0,0,0,0,1563.36
2023-03-01,실측,S5015,632.61,0.0,0.0,0,0,0,0.0,0.0,5.28,21.6,61.92,141.6,161.28,259.2,269.28,235.2,223.2,108.96,48.96,2.4,0.0,0,0,0,0,1538.88
2023-03-01,실측,S5006,633.6,0.0,0.0,0,0,0,0.0,0.0,6.65,33.84,68.99,138.7,199.64,161.36,90.15,104.33,134.27,112.19,28.88,1.21,0.0,0,0,0,0,1080.21
2023-03-01,실측,S5010,652.68,0.0,0.0,0,0,0,0.0,0.0,4.32,24.96,133.44,159.36,178.08,189.12,81.12,50.88,108.0,70.08,26.4,1.44,0.0,0,0,0,0,1027.2
2023-03-01,실측,G1020,694.0,0.0,0.0,0,0,0,0.0,0.0,0.19,27.79,127.92,238.18,174.58,274.85,346.03,367.2,214.66,107.86,62.06,2.54,0.0,0,0,0,0,1943.86
2023-03-01,실측,S5041,696.51,0.0,0.0,0,0,0,0.0,0.0,0.96,23.52,84.96,176.64,246.24,250.56,309.6,493.44,353.28,128.16,50.88,2.88,0.0,0,0,0,0,2121.12
2023-03-01,실측,S5047,702.9,0.0,0.0,0,0,0,0.0,0.0,5.79,39.77,158.37,134.51,118.6,233.58,386.17,401.35,326.87,61.47,28.2,1.45,0.0,0,0,0,0,1896.12
2023-03-01,실측,S5022,705.6,0.0,0.0,0,0,0,0.0,0.0,4.51,45.89,134.59,24.86,7.87,10.27,10.66,10.75,11.23,258.82,397.82,770.69,671.62,20.16,0,0,0,2379.74
2023-03-01,실측,S5019,722.07,0.0,0.0,0,0,0,0.0,0.0,4.32,74.16,137.52,182.88,238.32,511.2,548.64,420.48,208.8,132.48,61.2,3.6,0.0,0,0,0,0,2523.6
2023-03-01,실측,S5008,799.2,0.0,0.0,0,0,0,0.0,0.0,10.85,47.73,120.04,175.73,253.83,180.79,303.73,269.02,247.32,63.64,41.22,2.17,0.0,0,0,0,0,1716.05
2023-03-01,실측,S5040,819.18,0.0,0.0,0,0,0,0.0,0.0,5.04,23.76,121.68,234.72,200.16,221.76,64.08,37.44,120.96,75.6,38.88,0.72,0.0,0,0,0,0,1144.8
2023-03-01,실측,S5011,827.72,0.0,0.0,0,0,0,0.0,0.0,9.36,77.76,195.12,198.72,229.68,204.48,369.36,267.12,361.44,333.36,141.84,6.48,0.0,0,0,0,0,2394.72
2023-03-01,실측,S5039,879.12,0.0,0.0,0,0,0,0.0,0.0,5.04,24.48,123.84,241.2,209.52,234.0,65.52,37.44,123.84,79.2,42.48,0.72,0.0,0,0,0,0,1187.28
2023-03-01,실측,S5046,881.82,0.0,0.0,0,0,0,0.0,0.0,10.85,92.56,201.04,204.65,269.02,133.06,169.94,223.46,279.14,219.12,88.23,3.62,0.0,0,0,0,0,1894.67
2023-03-01,실측,G1065,889.76,0.0,0.0,0,0,0,0.0,0.0,13.38,42.81,117.66,193.01,247.9,112.74,52.0,37.89,66.1,104.79,20.39,0.29,0.0,0,0,0,0,1008.95
2023-03-01,실측,G1023,898.0,0.0,0.0,0,0,0,0.0,0.0,0.72,51.34,197.06,205.13,378.14,492.77,619.63,516.82,266.62,116.57,98.93,5.33,0.0,0,0,0,0,2949.05
2023-03-01,실측,S5003,911.2,0.0,0.0,0,0,0,0.0,0.0,12.08,28.57,82.15,188.89,215.28,237.63,217.67,233.65,307.63,134.65,62.05,5.13,0.0,0,0,0,0,1725.38
2023-03-01,실측,S5023,937.95,0.0,0.0,0,0,0,0.0,0.0,29.08,114.18,327.22,612.1,872.96,666.01,605.64,691.04,587.99,634.33,251.46,21.5,0.0,0,0,0,0,5413.51
2023-03-01,실측,G1024,947.03,0.0,0.0,0,0,0,0.0,0.0,0.0,9.86,126.58,36.94,25.78,39.53,93.17,112.75,193.97,184.75,270.22,442.73,434.88,434.81,338.83,29.74,0,2774.52
2023-03-01,실측,G1061,949.12,0.0,0.0,0,0,0,0.0,0.0,2.88,34.56,107.28,244.08,207.36,475.2,303.84,550.8,406.08,174.96,48.24,5.04,0.0,0,0,0,0,2560.32
2023-03-01,실측,S5042,950.16,0.0,0.0,0,0,0,0.0,0.0,6.48,61.78,69.41,66.53,56.16,38.81,47.3,46.37,119.38,388.8,600.62,602.28,601.63,239.11,0,0,0,2944.66
2023-03-01,실측,S5050,952.38,0.0,0.0,0,0,0,0.0,0.0,9.36,41.76,71.28,147.6,318.96,340.56,240.48,208.8,128.88,210.24,105.84,2.16,0.0,0,0,0,0,1825.92
2023-03-01,실측,G1051,956.16,19.44,0.0,0,0,0,0.0,0.0,2.88,56.16,83.52,23.04,17.28,18.72,19.44,18.72,18.0,102.24,38.16,0.0,0.0,529.92,518.4,30.96,0,1496.88
2023-03-01,실측,G1054,957.6,0.0,0.0,0,0,0,0.0,0.0,10.12,54.24,167.77,250.94,261.06,118.6,43.39,22.42,85.33,64.36,8.68,1.45,0.0,0,0,0,0,1088.35
2023-03-01,실측,S5001,972.0,0.0,0.0,0,0,0,0.0,0.0,3.04,49.39,77.16,202.2,365.12,434.91,265.54,320.94,242.4,266.34,149.33,6.51,0.0,0,0,0,0,2382.88
2023-03-01,실측,G1062,976.64,0.0,0.0,0,0,0,0.0,0.0,3.6,36.72,113.76,252.72,217.44,501.12,342.72,590.4,429.84,180.0,49.68,5.04,0.0,0,0,0,0,2723.04
2023-03-01,실측,S5013,977.67,0.0,0.0,0,0,0,0.0,0.0,4.32,88.56,113.04,139.68,195.84,354.96,481.68,311.04,235.44,56.88,41.04,2.88,0.0,0,0,0,0,2025.36
2023-03-01,실측,G1055,990.0,245.15,245.15,203.93,26.03,0,0.0,0.0,2.17,29.65,105.58,28.2,18.08,17.36,17.36,23.14,20.97,242.98,86.06,235.03,245.15,245.15,244.43,245.15,245.15,2771.87
2023-03-01,실측,G1031,991.515,0.0,0.0,0,0,0,0.0,0.0,3.6,105.12,133.2,54.72,64.08,66.24,66.96,68.4,62.64,125.28,565.2,564.48,479.52,19.44,0,0,0,2378.88
2023-03-01,실측,G1028,993.6,0.0,0.0,0,0,0,0.0,0.0,3.6,51.91,71.78,101.3,250.85,326.45,540.36,231.77,126.58,151.56,55.08,2.52,0.0,0,0,0,0,1913.76
2023-03-01,실측,G1027,994.17,0.0,0.0,0,0,0,0.0,0.0,2.88,50.4,59.04,136.8,254.16,478.8,269.28,93.6,28.8,99.36,45.36,0.0,0.0,0,0,0,0,1518.48
2023-03-01,실측,G1029,996.84,0.0,0.0,0,0,0,0.0,0.0,10.8,123.12,234.72,331.92,313.92,337.68,261.36,361.44,203.76,61.2,68.4,0.72,0.0,0,0,0,0,2309.04
2023-03-01,실측,G1067,997.12,0.0,0.0,0,0,0,0.0,0.0,0.22,69.48,141.26,132.7,118.22,107.5,47.74,237.31,188.64,199.66,123.91,18.58,0.0,0,0,0,0,1385.21
